Ticker,Company
5157.KL,SAUDEE
7017.KL,KOMARK
5090.KL,MEDIAC
2259.KL,TALAMT
5253.KL,ECONBHD
8141.KL,MJPERAK
7149.KL,ENGKAH
4375.KL,SMI
1538.KL,SYMLIFE
5168.KL,HARTA
8877.KL,EKOVEST
5284.KL,LCTITAN
5037.KL,COMPUGT
6181.KL,MALTON
7168.KL,PRG
7498.KL,RALCO
0177.KL,PASUKGB
0105.KL,ASIAPLY
0136.KL,GREENYB
9318.KL,FITTERS
7025.KL,WOODLAN
6297.KL,BOXPAK
7043.KL,JADEM
7215.KL,NIHSIN
4944.KL,NYLEX
7471.KL,EDEN
0078.KL,GDEX
8044.KL,CFM
7201.KL,PICORP
3045.KL,NP
0226.KL,ANEKA
5040.KL,MERIDIAN
0007.KL,PUC
0083.KL,NOTION
9679.KL,WCT
0169.KL,SMTRACK
5161.KL,JCY
3041.KL,1TECH
6888.KL,AXIATA
5231.KL,PELIKAN
8923.KL,JIANKUN
7219.KL,MINETEC
0143.KL,KEYASIC
7094.KL,EUROSP
7191.KL,ADVENTA
0085.KL,MLAB
0041.KL,HONGSENG
7071.KL,OCR
7676.KL,GCAP
0022.KL,PARLO
0116.KL,FOCUS
5198.KL,AFUJIYA
7050.KL,WONG
8052.KL,CGB
7020.KL,ASTEEL
7070.KL,VIZIONE
4456.KL,DNEX
7803.KL,HEXCARE
1481.KL,ASB
5371.KL,KIMHIN
5665.KL,SSTEEL
5267.KL,XINHWA
5048.KL,YB
0096.KL,NEXGRAM
7243.KL,MAGMA
0020.KL,NETX
7935.KL,MILUX
5192.KL,KSSC
7066.KL,YONGTAI
8591.KL,CRESBLD
7036.KL,BORNOIL
0122.KL,AIM
9695.KL,PLS
0103.KL,MNC
0084.KL,FAST
0255.KL,EIB
9237.KL,SCIB
0118.KL,TRIVE
0195.KL,BINACOM
9776.KL,SMCAP
5297.KL,TJSETIA
7097.KL,TAWIN
7544.KL,QUALITY
5085.KL,MUDAJYA
0156.KL,MPAY
7943.KL,MPIRE
8613.KL,ENRA
0006.KL,PINEAPP
0038.KL,ARTRONIQ
7209.KL,CHEETAH
7221.KL,BSLCORP
5673.KL,JSB
0026.KL,NOVAMSC
7139.KL,NICE
7113.KL,TOPGLOV
5738.KL,CHHB
5190.KL,BENALEC
0174.KL,EVD
3441.KL,JOHAN
5281.KL,ADVCON
5264.KL,MALAKOF
5172.KL,SINARAN
5001.KL,MIECO
9008.KL,OMESTI
0117.KL,SMRT
0036.KL,KGROUP
7181.KL,ARBB
3052.KL,RGS
5184.KL,CYPARK
5169.KL,HOHUP
7055.KL,PLB
7239.KL,SCNWOLF
0069.KL,VINVEST
0140.KL,XOXNET
0082.KL,GPACKET
0070.KL,MQTECH
6637.KL,PNEPCB
5213.KL,SNTORIA
9113.KL,ICONIC
8478.KL,HWATAI
0081.KL,REKATECH
7188.KL,BTM
0179.KL,BIOHLDG
0167.KL,MCLEAN
8176.KL,ATAIMS
5187.KL,HBGLOB
7223.KL,JADI
5265.KL,DOLPHIN
7240.KL,IHB
4634.KL,POS
0183.KL,SALUTE
0050.KL,SYSTECH
0187.KL,BCMALL
4324.KL,HENGYUAN
4235.KL,LIONIND
7130.KL,RENEUCO
7315.KL,AHB
0163.KL,CAREPLS
8532.KL,PERTAMA
5186.KL,MHB
3056.KL,SAFETY
0034.KL,MMAG
0181.KL,AEMULUS
0241.KL,SIAB
0075.KL,LYC
7889.KL,THRIVEN
7986.KL,CNASIA
9946.KL,REX
7617.KL,MAGNA
0132.KL,TDEX
8338.KL,DATAPRP
3051.KL,AORB
3017.KL,UNIWALL
0059.KL,ECOHLDS
6998.KL,BINTAI
7164.KL,KNM
0188.KL,HLT
0200.KL,REVENUE
0165.KL,XOX
0221.KL,TCS
5079.KL,ONEGLOVE
7183.KL,IQZAN
0154.KL,EAH
0102.KL,WAJA
0055.KL,SERSOL
5175.KL,IVORY
0092.KL,MTOUCHE
5270.KL,RSENA
0155.KL,MGRC
5256.KL,REACH
3021.KL,ETH
5082.KL,ANNUM
5932.KL,BPURI
8133.KL,BHIC
7146.KL,AEM
0029.KL,DIGISTA
5279.KL,SERBADK
0072.KL,AT
3022.KL,MCOM
0152.KL,DGB
5321.KL,KEYFIELD
0300.KL,SBH
0302.KL,TOPMIX
0305.KL,SINKUNG
5322.KL,FEYTECH
0306.KL,SMART
0307.KL,KENERGY
0308.KL,KTI
0309.KL,AGRICOR
0310.KL,UUE
0311.KL,GOHUB
0312.KL,OFB
5323.KL,JPG
0313.KL,BWYS
5325.KL,WELLCHIP
0315.KL,KUCINGKO
0318.KL,ELRIDGE
0317.KL,EPB 
0319.KL,VTC
0320.KL,HAWK
5326.KL,99SMART
0321.KL,SDCG
0322.KL,KHB
0323.KL,CREST
0325.KL,NE
0326.KL,SORENTO
0327.KL,OBHB
0328.KL,3REN
5327.KL,MEGAFB
5329.KL,AZAMJAYA
5328.KL,LWSABAH
0329.KL,METRO
0330.KL,SUPREME
0331.KL,CRPMATE
5330.KL,TMK
0332.KL,TOPVISN
0333.KL,VANZO
0335.KL,CARLORINO
0336.KL,WINSTAR
5303.KL,SWIFT
0339.KL,CBH
0338.KL,KOPI
0341.KL,COLFORM
0342.KL,RTECH
0343.KL,TECHSTORE
0345.KL,SUNLOGY
0340.KL,NORTHERN
5331.KL,PGLOBAL
